"","filename","trialID","director","speaker","trial_value","trial_start","trial_end","trial_length","sign_start","sign_end","sign_length","sign_value","sign_notes","iconic","signOrigin","T0Check","CandidateUnderstanding","TryMarked","Indexicality","Teach","T_minus_1","T0","week","session","part1","part2","originalSignLabel","speakerName","inventedBy","IX","OS","LW","SE","freq_week_1_total","freq_week_4_total","freq_week4_withinColour","prop_week4_withinColour"
"76","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,195537,197105,1568,"IX:TONGUE","IX",NA,NA,FALSE,"No",FALSE,"Yes-body",TRUE,FALSE,FALSE,1,"1","Jordan","India","tongue","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"94","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,196930,199185,2255,"RED(MOUTH)","OS",NA,NA,TRUE,"No",FALSE,"Yes-body",FALSE,FALSE,TRUE,1,"1","Jordan","India","RED(mouth)","Jordan","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"77","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,198794,201039,2245,"RED(MOUTH)","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","RED(mouth)","India","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"95","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,200292,201626,1334,"RED(MOUTH)","OS",NA,NA,TRUE,"No",FALSE,"Yes-body",FALSE,FALSE,TRUE,1,"1","Jordan","India","RED(mouth)","Jordan","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"78","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,201693,204125,2432,"OS:RED(MOUTH)+IX:TONGUE+DIFFFERENT",NA,NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","OS:RED(mouth)+IX:Tongue+diffferent","India","India",FALSE,FALSE,FALSE,FALSE,1,0,0,0
"245","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",25,2,2,"23",192543,297501,104958,203316,204722,1406,"RED(FRONTLET)","OS",NA,NA,FALSE,"No",FALSE,"yes",FALSE,FALSE,FALSE,1,"1","Nepal","Indonesia","RED(frontlet) ","Indonesia","Nepal",FALSE,TRUE,FALSE,FALSE,25,4,NA,NA
"79","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,204125,204129,4,"DIFFERENT",NA,NA,NA,FALSE,"No",FALSE,"no",FALSE,FALSE,FALSE,1,"1","Jordan","India","DIFFERENT","India","Indonesia",FALSE,FALSE,FALSE,FALSE,5,0,0,0
"246","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",25,2,2,"23",192543,297501,104958,204722,206118,1396,"SEA",NA,NA,NA,FALSE,"No",FALSE,NA,FALSE,FALSE,FALSE,1,"1","Nepal","Indonesia","SEA","Indonesia","Indonesia",FALSE,FALSE,FALSE,FALSE,3,1,NA,NA
"41","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,204968,205572,604,"IX:PARTITION","IX",NA,NA,FALSE,"No",FALSE,"yes",FALSE,FALSE,FALSE,1,"1","Jordan","India","partition","Jordan","Jordan",TRUE,FALSE,FALSE,FALSE,1,0,0,0
"42","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,205580,206455,875,"RED(MOUTH)","OS",NA,"",FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","RED(mouth)","Jordan","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
